📺英国频道,#genre#
CCTV-11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-12,https://php.jdshipin.com/TVOD/iptv.php?id=cctv12
CCTV-12,http://207.56.13.146:81/cdnlive/cctv12.m3u8
CCTV-12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-13,https://cdn10.163189.xyz/163189/cctv13/
CCTV-13,https://php.jdshipin.com/TVOD/iptv.php?id=cctv13
CCTV-13,http://207.56.13.146:81/cdnlive/cctv13.m3u8
CCTV-14,https://php.jdshipin.com/TVOD/iptv.php?id=cctv14
CCTV-14,http://207.56.13.146:81/cdnlive/cctv14.m3u8
CCTV-14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-15,https://php.jdshipin.com/TVOD/iptv.php?id=cctv15
CCTV-15,http://207.56.13.146:81/cdnlive/cctv15.m3u8
CCTV-16,https://php.jdshipin.com/TVOD/iptv.php?id=cctv16
CCTV-16,https://cdn16.163189.xyz/163189/cctv16-2
CCTV-16,http://207.56.13.146:81/cdnlive/cctv16.m3u8
CCTV-16,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV-17,https://php.jdshipin.com/TVOD/iptv.php?id=cctv17
CCTV-17,http://207.56.13.146:81/cdnlive/cctv17.m3u8
CCTV-17,http://74.91.26.218:82/live/cctv17hd.m3u8
CCTV-4K,http://198.204.240.250:82/live/cctv4k.m3u8
CCTV-8K,http://192.151.150.154/live/cctv8k.m3u8
CGTN记录,http://english-livebkali.cgtn.com/live/doccgtn_0.m3u8

📡地方卫视,#genre#
东方卫视,http://207.56.13.146:81/cdnlive/dfws.m3u8
湖南卫视,http://207.56.13.146:81/cdnlive/hnws.m3u8
浙江卫视,http://207.56.13.146:81/cdnlive/zjws.m3u8
广东卫视,http://207.56.13.146:81/cdnlive/gdws.m3u8
江苏卫视,http://207.56.13.146:81/cdnlive/jsws.m3u8
安徽卫视,http://207.56.13.146:81/cdnlive/ahws.m3u8
深圳卫视,http://207.56.13.146:81/cdnlive/szws.m3u8
北京卫视,http://207.56.13.146:81/cdnlive/bjws.m3u8
山东卫视,http://207.56.13.146:81/cdnlive/sdws.m3u8
重庆卫视,http://207.56.13.146:81/cdnlive/cqws.m3u8
辽宁卫视,http://207.56.13.146:81/cdnlive/lnws.m3u8
湖北卫视,http://207.56.13.146:81/cdnlive/hbws.m3u8
广西卫视,http://207.56.13.146:81/cdnlive/gxws.m3u8
天津卫视,http://207.56.13.146:81/cdnlive/tjws.m3u8
四川卫视,http://207.56.13.146:81/cdnlive/scws.m3u8
陕西卫视,http://207.56.13.146:81/cdnlive/snws.m3u8
东南卫视,http://207.56.13.146:81/cdnlive/dnws.m3u8
海南卫视,http://207.56.13.146:81/cdnlive/lyws.m3u8
河南卫视,http://207.56.13.146:81/cdnlive/haws.m3u8
河北卫视,http://207.56.13.146:81/cdnlive/hews.m3u8
贵州卫视,http://207.56.13.146:81/cdnlive/gzws.m3u8
甘肃卫视,http://207.56.13.146:81/cdnlive/gsws.m3u8
山西卫视,http://207.56.13.146:81/cdnlive/sxws.m3u8
宁夏卫视,http://207.56.13.146:81/cdnlive/nxws.m3u8
内蒙古卫视,http://207.56.13.146:81/cdnlive/nmgws.m3u8
云南卫视,http://207.56.13.146:81/cdnlive/ynws.m3u8
青海卫视,http://207.56.13.146:81/cdnlive/qhws.m3u8
黑龙江卫视,http://207.56.13.146:81/cdnlive/hljws.m3u8
江西卫视,http://207.56.13.146:81/cdnlive/jxws.m3u8
吉林卫视,http://207.56.13.146:81/cdnlive/jlws.m3u8
海峡卫视,https://cdn10.163189.xyz/163189/hxws/
海峡卫视,https://cdn16.163189.xyz/163189/hxws
西藏卫视,http://207.56.13.146:81/cdnlive/xzws.m3u8
新疆卫视,http://207.56.13.146:81/cdnlive/xjws.m3u8

☘️上海频道,#genre#

☘️广东频道,#genre#
广东珠江,https://cdn2.163189.xyz/163189/gdzj
广州综合,https://cdn16.163189.xyz/163189/gzzh
广州综合,https://tencentplaygsm.gztv.com/live/zonghes.m3u8?txTime=65797c44&%3BtxSecret=7e4590b2320037d7ce49ce9eac2dd6c0
广州综合,https://tencentplaybusiness.gztv.com/live/zonghes.m3u8
广州新闻,https://cdn16.163189.xyz/163189/gzxw
广州影视,http://r.jdshipin.com/sFw4S
广州南国都市,https://cdn15.163189.xyz/163189/ngds

☘️浙江频道,#genre#
浙江公共新闻,http://ali-xwl.cztv.com/live/channel071080Plxw.m3u8
浙江国际,http://ali-xwl.cztv.com/live/channel101080Plxw.m3u8
之江纪录,http://ali-xwl.cztv.com/live/channel121080Pnew.m3u8

☘️江苏频道,#genre#
南京少儿,http://nklive.nbs.cn/hls/e0981f3f-1a20-4a59-b8d1-17feb83a4610/index.m3u8

☘️安徽频道,#genre#

☘️北京频道,#genre#

☘️山东频道,#genre#

☘️重庆频道,#genre#

☘️辽宁频道,#genre#

☘️湖南频道,#genre#

☘️湖北频道,#genre#

☘️广西频道,#genre#
南宁公共,https://hls.nntv.cn/nnlive/GGPD_24.m3u8

☘️天津频道,#genre#

☘️四川频道,#genre#

☘️陕西频道,#genre#

☘️福建频道,#genre#

☘️海南频道,#genre#

☘️河南频道,#genre#

☘️河北频道,#genre#
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8

☘️贵州频道,#genre#

☘️甘肃频道,#genre#

☘️新疆频道,#genre#

☘️山西频道,#genre#

☘️宁夏频道,#genre#
宁夏公共,https://hls.ningxiahuangheyun.com/live/nxgg1M.m3u8
宁夏经济,https://hls.ningxiahuangheyun.com/live/nxjj1M.m3u8
宁夏少儿,https://hls.ningxiahuangheyun.com/live/nxse1M.m3u8

☘️吉林频道,#genre#
通化新闻综合,http://lsfb.avap.jilintv.cn/zqvk7vpj/channel/43ea5771aa44421591f9dfd2b71f1b9b/index.m3u8
四平-1,http://stream2.jlntv.cn/sptv/sd/live.m3u8?_upt=f27750421743154598

☘️内蒙古频道,#genre#
赤峰新闻综合,http://play1-qk.nmtv.cn/live/1735546697341033.m3u8

☘️云南频道,#genre#
云南都市,https://hwapi.yntv.net/62hdvf/rjwt14.m3u8
云南娱乐,https://hwapi.yntv.net/62hdvf/q9vs1b.m3u8

☘️青海频道,#genre#

☘️黑龙江频道,#genre#
哈尔滨新闻综合,https://stream.hrbtv.net/xwzh/playlist.m3u8?_upt=ef41dd531755913594
哈尔滨影视,https://stream.hrbtv.net/yspd/playlist.m3u8

🎬电影频道,#genre#
重温经典,https://cdn6.163189.xyz/163189/cwjd
重温经典,https://cdn16.163189.xyz/163189/cwjd
重温经典,http://cdn6.163189.xyz/163189/cwjd
天映经典,https://cdn10.163189.xyz/163189/ccm/
天映经典,https://o11.163189.xyz/stream/live/ccm/
东森电影,https://smt.1678520.xyz/163189/dsdy
东森洋片,https://smt.1678520.xyz/163189/dsyp
东森超视,rtmp://f13h.mine.nu/sat/tv331
影迷数位电影台,https://cdn12.178.indevs.in/163189/ymswdyt
amc电影台,https://cdn12.178.indevs.in/163189/amc
靖天电影台,https://cdn12.178.indevs.in/163189/jtdy
靖天映画,https://cdn12.178.indevs.in/163189/jtyh
采昌影剧台,https://cdn12.178.indevs.in/163189/ccyj
龙华电影台,https://cdn8.163189.xyz/163189/lhdy
龙华日韩台,https://cdn8.163189.xyz/163189/lhrh
龙华日韩台,http://cdn8.163189.xyz/163189/lhrh
CinemaWorld,https://cdn12.178.indevs.in/163189/cinemaworld
CM+,https://o11.163189.xyz/stream/live/aod/
Astro AEC,https://o11.163189.xyz/stream/live/aec/
Astro QJ,https://o11.163189.xyz/stream/live/qj/
Astro 欢喜,https://o11.163189.xyz/stream/live/hxt/
Astro iQIYI,https://o11.163189.xyz/stream/live/iqiyi/
TVB亚洲武侠,https://cdn6.163189.xyz/163189/yzwx
公视戏剧,https://cdn12.178.indevs.in/163189/gsxj
靖洋戏剧台,https://cdn12.178.indevs.in/163189/jyxj
靖天戏剧台,https://cdn12.178.indevs.in/163189/jtxj
龙华偶像台,https://cdn8.163189.xyz/163189/lhox
龙华偶像台,http://cdn8.163189.xyz/163189/lhox
龙华经典台,https://cdn8.163189.xyz/163189/lhjd
5ACTION UK,http://wickediptv.xyz/Randall123/Randall321/204605
5SELECT UK,http://wickediptv.xyz/Randall123/Randall321/53829
5STAR UK,http://163.172.64.96:2017/GBa19qrcQYa3/u2c8FLfgkK/246
Sky Cinema Premiere UK,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98793
Sky Cinema Select UK,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98791
Sky Cinema Hits UK,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98794
Sky Cinema Family UK,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98796
Sky Cinema Action UK,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98800
Sky Cinema Greats UK,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98795
Sky Cinema Comedy UK,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98799
Sky Cinema Thriller UK,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98790
Sky Cinema Drama UK,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98797
Sky Cinema Sci-Fi & Horror UK,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98792

🏀体育频道,#genre#
CCTV-5+,https://php.jdshipin.com/TVOD/iptv.php?id=cctv5p
CCTV-5+,https://cdn16.163189.xyz/163189/cctv5p-2
广东体育,https://cdn2.163189.xyz/163189/gdty
纬来体育,rtmp://f13h.mine.nu/sat/tv721
五星体育,https://cdn15.163189.xyz/163189/wxty
体育赛事,http://207.56.13.146:81/cdnlive/cctv5p.m3u8
TNT SPORTS 1,http://89.187.179.148:826/anto.j/c9yJDcXyPe/119906
TNT SPORTS 1,http://wickediptv.xyz/Randall123/Randall321/53850
TNT SPORTS 2,http://wickediptv.xyz/Randall123/Randall321/53851
TNT SPORTS 3,http://wickediptv.xyz/Randall123/Randall321/53852
TNT SPORTS 4,http://wickediptv.xyz/Randall123/Randall321/53853
SKY SPORTS FOOTBALL,http://rocketfx.uk:8080/henry/henry/508347
SKY SPORTS MAIN EVENT,http://89.187.179.148:826/anto.j/c9yJDcXyPe/119327
SKY SPORTS PREMIER LEAGUE,http://rocketfx.uk:8080/henry/henry/508337
SKY SPORTS ACTION,http://rocketfx.uk:8080/henry/henry/508353
SKY SPORTS MIX,http://rocketfx.uk:8080/henry/henry/508341
SKY SPORTS NEWS,http://rocketfx.uk:8080/henry/henry/508338
SKY SPORTS CRICKET,http://rocketfx.uk:8080/henry/henry/508351
Sky Sports Tennis,http://rocketfx.uk:8080/henry/henry/508334
SKY SPORTS F1,http://89.187.179.148:826/anto.j/c9yJDcXyPe/119326
SKY SPORTS F1,http://rocketfx.uk:8080/henry/henry/508349
SKY SPORTS GOLF,http://rocketfx.uk:8080/henry/henry/508344
SKY SPORTS RACING,http://rocketfx.uk:8080/henry/henry/25199
Premier Sports 1,http://rocketfx.uk:8080/henry/henry/357497
Premier Sports 2,http://rocketfx.uk:8080/henry/henry/357498
NBA TV,http://23.237.104.106:8080/USA_NBA/index.m3u8
风云足球,http://207.56.13.146:81/cdnlive/fyzq.m3u8
风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub

📺教育频道,#genre#

🪁动画频道,#genre#
CN卡通,http://23.237.104.106:8080/USA_CARTOON_NETWORK/tracks-v1a1/mono.m3u8
龙华卡通台,https://cdn8.163189.xyz/163189/lhkt
Nick Jr.,http://89.187.179.148:826/anto.j/c9yJDcXyPe/1268
Disney XD,http://23.237.104.106:8080/USA_DISNEY_XD/index.m3u8

🎮游戏频道,#genre#

📺旅游,#genre#

🎵音乐频道,#genre#
风云音乐,http://207.56.13.146:81/cdnlive/fyyy.m3u8
风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub

📺纪录,#genre#
Love Nature HD,https://pb-ehs1glsha1juy.akamaized.net/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/pb-ehs1glsha1juy/f2141f37-1f48-475b-ba54-b9efb62346db/0.m3u8
Lifetime,http://89.187.179.148:826/anto.j/c9yJDcXyPe/1446

📺新加坡,#genre#
Channel 5 HD,https://cdn6.163189.xyz/163189/ch5
Channel 5 HD,http://cdn6.163189.xyz/163189/ch5
Channel 8 HD,https://cdn6.163189.xyz/163189/ch8
Channel 8 HD,http://cdn6.163189.xyz/163189/ch8
Channel U HD,https://cdn6.163189.xyz/163189/chu
Channel U HD,http://cdn6.163189.xyz/163189/chu

📺日本,#genre#

📺韩国,#genre#

💰央视付费频道,#genre#
央视台球,http://207.56.13.146:81/cdnlive/ystq.m3u8
央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
文化精品,http://207.56.13.146:81/cdnlive/ysjp.m3u8
文化精品,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
高尔夫网球,http://207.56.13.146:81/cdnlive/gefwq.m3u8
高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
卫生健康,http://207.56.13.146:81/cdnlive/wsjk.m3u8
卫生健康,http://38.75.136.137:98/gslb/dsdqpub/wsjk.m3u8?auth=testpub
怀旧剧场,http://207.56.13.146:81/cdnlive/hjjc.m3u8
怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
第一剧场,http://207.56.13.146:81/cdnlive/dyjc.m3u8
第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
风云剧场,http://207.56.13.146:81/cdnlive/fyjc.m3u8
风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
兵器科技,http://207.56.13.146:81/cdnlive/gfjs.m3u8
兵器科技,http://38.75.136.137:98/gslb/dsdqpub/gfjs.m3u8?auth=testpub
女性时尚,http://207.56.13.146:81/cdnlive/nxss.m3u8
女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
世界地理,http://207.56.13.146:81/cdnlive/sjdl.m3u8
世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub

🕘️更新时间,#genre#
2026-06-22 16:50:46,http://89.187.179.148:826/anto.j/c9yJDcXyPe/120265
