📺英国频道,#genre#
RTHK32,https://cdn.163189.xyz/163189/rthk32
RTHK32,http://cdn.163189.xyz/163189/rthk32
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVBJ1,https://cdn6.163189.xyz/163189/j1
Viutv,https://cdn10.163189.xyz/163189/viu/
Viutv,https://cdn.163189.xyz/163189/viu

📺台湾,#genre#
TVBS新闻,http://iptv.4666888.xyz/iptv2A.php?id=43
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS台劇台,http://iptv.4666888.xyz/iptv2A.php?id=58
民视,http://iptv.4666888.xyz/iptv2A.php?id=55
民视影剧台,https://cdn12.178.indevs.in/163189/msyj
Now新闻,https://cdn.163189.xyz/163189/now
Now新闻,http://cdn.163189.xyz/163189/now
台视新闻,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111

📺央视频道,#genre#
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=ae1fc95449a7d4a13c53490cbcae614f&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=0361e56ecb002b71992e2389d940833d&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=b3819637a4c479c8ccd4d25e42eb96ca&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-1,http://iptv.4666888.xyz/iptv2A.php?id=7
CCTV-1,https://cdn6.163189.xyz/163189/cctv1
CCTV-1,https://php.jdshipin.com/TVOD/iptv.php?id=cctv1
CCTV-1,http://207.56.13.146:81/cdnlive/cctv1.m3u8
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=9d3681a7c74fcc88af7a6e9c998f37a0&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=f3dda6ea205b8de722bbab201bd0bc9b&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=723ba4b322fd8ec423d8f247a6dbe636&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-2,http://iptv.4666888.xyz/iptv2A.php?id=8
CCTV-2,https://php.jdshipin.com/TVOD/iptv.php?id=cctv2
CCTV-2,http://207.56.13.146:81/cdnlive/cctv2.m3u8
CCTV-3,https://live.264788.xyz/channel/cctv3?streamid=bf8db09e1cc53a2b7ab59e4f4ed11a20&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-3,https://live.264788.xyz/channel/cctv3?streamid=7cf5005abb2cf8ff19569c4e23a386da&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-3,https://live.264788.xyz/channel/cctv3?streamid=b56bf50c19821aafefca9f20761908e2&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-3,http://iptv.4666888.xyz/iptv2A.php?id=9
CCTV-3,https://php.jdshipin.com/TVOD/iptv.php?id=cctv3
CCTV-3,http://207.56.13.146:81/cdnlive/cctv3.m3u8
CCTV-4,https://live.264788.xyz/channel/cctv4?streamid=cc1a7c2d76ea7e0ab85515d9318d6a67&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-4,https://live.264788.xyz/channel/cctv4?streamid=d9c90dcbb55c328cbe6415daad8f9b79&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-4,https://live.264788.xyz/channel/cctv4?streamid=322dde75a155820f409e33444cb6cd15&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-4,http://iptv.4666888.xyz/iptv2A.php?id=10
CCTV-4,https://php.jdshipin.com/TVOD/iptv.php?id=cctv4
CCTV-4,http://207.56.13.146:81/cdnlive/cctv4.m3u8
CCTV-5,https://live.264788.xyz/channel/cctv5?streamid=188da934b8ba25977f0ac6a59478a16b&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-5,https://live.264788.xyz/channel/cctv5?streamid=1806e73ac17e1ad9a7f4c7b2dc9abea6&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-5,https://php.jdshipin.com/TVOD/iptv.php?id=cctv5
CCTV-5,https://cdn16.163189.xyz/163189/cctv5-2
CCTV-5,http://207.56.13.146:81/cdnlive/cctv5.m3u8
CCTV-6,https://live.264788.xyz/channel/cctv6?streamid=c604d1dc88387983185d3a508d55f87f&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-6,https://live.264788.xyz/channel/cctv6?streamid=cdf2a45cf92cd843c41935b9ad03fdb1&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-6,https://live.264788.xyz/channel/cctv6?streamid=594ab401db67c9a1a87d9419543149ff&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-6,https://php.jdshipin.com/TVOD/iptv.php?id=cctv6
CCTV-6,http://207.56.13.146:81/cdnlive/cctv6.m3u8
CCTV-7,https://live.264788.xyz/channel/cctv7?streamid=2816a855aa82363e0025b440f8f75c14&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-7,https://live.264788.xyz/channel/cctv7?streamid=b2afe5077dfacc2dc295b163201d9f8b&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-7,https://live.264788.xyz/channel/cctv7?streamid=0153a69238ce5820014fb09aec713799&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-7,https://php.jdshipin.com/TVOD/iptv.php?id=cctv7
CCTV-7,http://207.56.13.146:81/cdnlive/cctv7.m3u8
CCTV-8,https://live.264788.xyz/channel/cctv8?streamid=6a85d271479df7e4105c8edd745b4625&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-8,https://live.264788.xyz/channel/cctv8?streamid=2527d55fd09df3db4f5d3824ddd8b58e&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-8,https://php.jdshipin.com/TVOD/iptv.php?id=cctv8
CCTV-8,http://207.56.13.146:81/cdnlive/cctv8.m3u8
CCTV-9,https://live.264788.xyz/channel/cctv9?streamid=25c0a56523dc33289ca79cb0ce6876f5&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-9,https://live.264788.xyz/channel/cctv9?streamid=70dd04a67e51ded5d77c9d1eda015e64&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-9,https://live.264788.xyz/channel/cctv9?streamid=a1c62cd1a08c871f0139cd4415979edd&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-9,https://php.jdshipin.com/TVOD/iptv.php?id=cctv9
CCTV-9,http://207.56.13.146:81/cdnlive/cctv9.m3u8
CCTV-9,https://xykt-fix.github.io/Y77.m3u8
CCTV-10,https://live.264788.xyz/channel/cctv10?streamid=53ba5973e313102776c533632a495108&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-10,https://live.264788.xyz/channel/cctv10?streamid=a6610f7c03ec538e4603bb827ecc5fad&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-10,https://live.264788.xyz/channel/cctv10?streamid=1d44973ab4169ca43dd74f86cfd8b4c3&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-10,https://php.jdshipin.com/TVOD/iptv.php?id=cctv10
CCTV-10,http://207.56.13.146:81/cdnlive/cctv10.m3u8
CCTV-11,https://live.264788.xyz/channel/cctv11?streamid=7b9945eb3e3a3628d7a273fff55b8d1e&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-11,https://live.264788.xyz/channel/cctv11?streamid=1cbd4046d7da2c3256da8f134bb57155&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-11,https://php.jdshipin.com/TVOD/iptv.php?id=cctv11
CCTV-11,http://207.56.13.146:81/cdnlive/cctv11.m3u8
CCTV-12,https://live.264788.xyz/channel/cctv12?streamid=0f34c587b2bea8f82b43463faa4b5708&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-12,https://live.264788.xyz/channel/cctv12?streamid=494659294b7e1f18b61fe6cf51c66d5d&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-12,https://live.264788.xyz/channel/cctv12?streamid=1ac62f22b4b7bbd88bf306dbabfc0cab&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-12,https://php.jdshipin.com/TVOD/iptv.php?id=cctv12
CCTV-12,http://207.56.13.146:81/cdnlive/cctv12.m3u8
CCTV-13,https://live.264788.xyz/channel/cctv13?streamid=18337d7a8a925fefa6736f2af5f779a5&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-13,https://live.264788.xyz/channel/cctv13?streamid=625d6041e8ff594aef93d7ee5d8a98f3&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-13,https://live.264788.xyz/channel/cctv13?streamid=4789b08617985dff522a8b3501a12a75&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-13,http://iptv.4666888.xyz/iptv2A.php?id=11
CCTV-13,https://cdn10.163189.xyz/163189/cctv13/
CCTV-13,https://php.jdshipin.com/TVOD/iptv.php?id=cctv13
CCTV-13,http://207.56.13.146:81/cdnlive/cctv13.m3u8
CCTV-13,https://cdn3.163189.xyz/163189/cctv13
CCTV-14,https://live.264788.xyz/channel/cctv14?streamid=c1b1baab75f3bdd8eece6892ec6b0c8b&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-14,https://live.264788.xyz/channel/cctv14?streamid=09d8589b06d81eb7f173cadca39fb444&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-14,https://live.264788.xyz/channel/cctv14?streamid=62f8056147d37ab75d0da292d40c0418&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-14,http://iptv.4666888.xyz/iptv2A.php?id=12
CCTV-14,https://php.jdshipin.com/TVOD/iptv.php?id=cctv14
CCTV-14,http://207.56.13.146:81/cdnlive/cctv14.m3u8
CCTV-15,https://live.264788.xyz/channel/cctv15?streamid=6cb793152bc3feaeb0d36b1f78734e29&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-15,https://live.264788.xyz/channel/cctv15?streamid=0168b85cf8f8079b99ecc4b3d00b20d2&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-15,https://live.264788.xyz/channel/cctv15?streamid=bf37f0c53142ac899540c9325d6ed531&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-15,https://php.jdshipin.com/TVOD/iptv.php?id=cctv15
CCTV-15,http://207.56.13.146:81/cdnlive/cctv15.m3u8
CCTV-15,https://xykt-fix.github.io/play/a02e/index.m3u8
CCTV-16,https://live.264788.xyz/channel/cctv16?streamid=d8dbfb7e9b4e78fc73baf57e7b53ced6&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-16,https://live.264788.xyz/channel/cctv164k?streamid=a78e16d1a56172e5525dedde279787a3&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-16,https://php.jdshipin.com/TVOD/iptv.php?id=cctv16
CCTV-16,https://cdn16.163189.xyz/163189/cctv16-2
CCTV-16,http://207.56.13.146:81/cdnlive/cctv16.m3u8
CCTV-17,https://live.264788.xyz/channel/cctv17?streamid=348c8c0c04a6d2b900e5a3bcb4af8ce1&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-17,https://live.264788.xyz/channel/cctv17?streamid=a483a16d6e66e80650def7de077b18fa&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-17,https://live.264788.xyz/channel/cctv17?streamid=12e368efbd799e724c61530988786b16&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-17,https://php.jdshipin.com/TVOD/iptv.php?id=cctv17
CCTV-17,http://207.56.13.146:81/cdnlive/cctv17.m3u8
CCTV-4K,https://live.264788.xyz/channel/cctv4k?streamid=69b8ad870d6e6b638349a2eb5d3c6e98&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CCTV-4K,https://live.264788.xyz/channel/cctv4k?streamid=84c255985963e0e411a18999189b14c8&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CGTN记录,https://live.264788.xyz/channel/cgtndocumentary?streamid=d27e00e9e046013bee3262d4988a9c4c&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
CGTN记录,http://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
TV Brics,https://chibrics.mediacdn.ru/cdn/brics/chinese/playlist.m3u8

📡地方卫视,#genre#
东方卫视,https://live.264788.xyz/channel/dongfangweishi?streamid=85aea482acc87c868b509dfc6299cc44&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
东方卫视,https://live.264788.xyz/channel/dongfangweishi?streamid=7245d9e90a18060f183b84e383e941a4&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
东方卫视,https://live.264788.xyz/channel/dongfangweishi?streamid=d5d7da9b3bb6bae0fe51c654812c073a&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
东方卫视,https://live.264788.xyz/channel/dongfangweishi4k?streamid=b8c707e2ca95b85511f6c50c9638128b&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
东方卫视,http://207.56.13.146:81/cdnlive/dfws.m3u8
湖南卫视,https://live.264788.xyz/channel/hunanweishi?streamid=55aa70b744ce4863ca4f21755ce7821f&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
湖南卫视,https://live.264788.xyz/channel/hunanweishi?streamid=06d3f2007e0c04856fb9ea419bbd9cf9&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
湖南卫视,https://live.264788.xyz/channel/hunanweishi?streamid=0828c5c3517aef9c72343736b2d9d1f9&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
湖南卫视,https://live.264788.xyz/channel/hunanweishi4k?streamid=1d2cff60e497ead8198445a199d19583&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
湖南卫视,http://iptv.4666888.xyz/iptv2A.php?id=13
湖南卫视,http://207.56.13.146:81/cdnlive/hnws.m3u8
浙江卫视,https://live.264788.xyz/channel/zhejiangweishi?streamid=25b7c6480cc4c9facb82d1cdf13693ec&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
浙江卫视,https://live.264788.xyz/channel/zhejiangweishi?streamid=f48e0bb7d67c931727ebb8fcd97bdfd3&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
浙江卫视,https://live.264788.xyz/channel/zhejiangweishi?streamid=f5e7e8c75bba6951ba709e8a46ff2772&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
浙江卫视,https://live.264788.xyz/channel/zhejiangweishi4k?streamid=a5b6e60170ee8c69290def1c2fe00cc8&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
浙江卫视,http://iptv.4666888.xyz/iptv2A.php?id=14
浙江卫视,http://207.56.13.146:81/cdnlive/zjws.m3u8
广东卫视,https://live.264788.xyz/channel/guangdongweishi?streamid=cb79f80b1c81ba01a6cc0f96cb127c4a&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
广东卫视,https://live.264788.xyz/channel/guangdongweishi?streamid=b323fb591a326baffd8c4e4a5d48ba30&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
广东卫视,https://live.264788.xyz/channel/guangdongweishi?streamid=a8a6999dae6313a2788eff262b5873bc&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
广东卫视,https://live.264788.xyz/channel/guangdongweishi4k?streamid=33aeafbb59f2bcb1877c3a8229c0135b&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
广东卫视,https://live.264788.xyz/channel/guangdongweishi4k?streamid=6a50ede91d38c74ee3789122e267fec1&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
广东卫视,http://iptv.4666888.xyz/iptv2A.php?id=18
广东卫视,http://207.56.13.146:81/cdnlive/gdws.m3u8
江苏卫视,https://live.264788.xyz/channel/jiangsuweishi?streamid=430ccd55b3374b7e3ccc7388e90566c8&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
江苏卫视,https://live.264788.xyz/channel/jiangsuweishi?streamid=5e7875e596c34b83f5defc985b52c5f9&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
江苏卫视,https://live.264788.xyz/channel/jiangsuweishi?streamid=1f708c4111f88ab499c8ef73b9f30902&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
江苏卫视,https://live.264788.xyz/channel/jiangsuweishi4k?streamid=375dbc290331f86f70689c85cd16e1eb&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
江苏卫视,http://iptv.4666888.xyz/iptv2A.php?id=15
江苏卫视,http://207.56.13.146:81/cdnlive/jsws.m3u8
安徽卫视,https://live.264788.xyz/channel/anhuiweishi?streamid=cd2aa71eb7ee9609b9cd182fa1ed7fc0&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
安徽卫视,https://live.264788.xyz/channel/anhuiweishi?streamid=8f6ba7f0abf067bd6d93c7b58ec3d86f&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
安徽卫视,https://live.264788.xyz/channel/anhuiweishi?streamid=6ad47f6ad8c42aa9e08a751bed820b1c&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
安徽卫视,http://207.56.13.146:81/cdnlive/ahws.m3u8
深圳卫视,https://live.264788.xyz/channel/shenzhenweishi?streamid=85961b14ea610e8adbef8769bea8b26e&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
深圳卫视,https://live.264788.xyz/channel/shenzhenweishi?streamid=9f19de691697b902376432567c77cece&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
深圳卫视,https://live.264788.xyz/channel/shenzhenweishi?streamid=2715678e4b53f93415f1b63d802c342c&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
深圳卫视,https://live.264788.xyz/channel/shenzhenweishi4k?streamid=2af9bbae55f64f373a94440b8bb0a0bd&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
深圳卫视,https://live.264788.xyz/channel/shenzhenweishi4k?streamid=9828b90c3948bae63cb8de76cdccd646&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
深圳卫视,http://207.56.13.146:81/cdnlive/szws.m3u8
北京卫视,https://live.264788.xyz/channel/beijingweishi?streamid=e078747837ff9cad6d2a314ebeffa51c&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
北京卫视,https://live.264788.xyz/channel/beijingweishi?streamid=f37b9c719ec0ddf230c854b7ef08c7b9&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
北京卫视,https://live.264788.xyz/channel/beijingweishi?streamid=41225e7b85c7ba5b42d4c3979cce5d73&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
北京卫视,https://live.264788.xyz/channel/beijingweishi4k?streamid=20915ffd9b2848bf3604dfea93e5f344&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
北京卫视,https://live.264788.xyz/channel/beijingweishi4k?streamid=9859ef98cc152feae0c066e8c100ad2e&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
北京卫视,http://207.56.13.146:81/cdnlive/bjws.m3u8
山东卫视,https://live.264788.xyz/channel/shandongweishi?streamid=17734718ddd5e6904640c72df1fe5fa8&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
山东卫视,https://live.264788.xyz/channel/shandongweishi?streamid=bf9b7f517ea933966a973fa582f07137&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
山东卫视,https://live.264788.xyz/channel/shandongweishi?streamid=1920e8715db79dca740ef1828b665c11&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
山东卫视,https://live.264788.xyz/channel/shandongweishi4k?streamid=94f01afe37551c1ea2aa8e32b1d80c9e&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
山东卫视,http://207.56.13.146:81/cdnlive/sdws.m3u8
重庆卫视,https://live.264788.xyz/channel/chongqingweishi?streamid=a70f858363ae250a4fbf283111a42054&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
重庆卫视,https://live.264788.xyz/channel/chongqingweishi?streamid=737d49d36d25402fc57210b67903c168&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
重庆卫视,https://live.264788.xyz/channel/chongqingweishi?streamid=0d606a0ff89dc49b8efb489237c11095&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
重庆卫视,http://207.56.13.146:81/cdnlive/cqws.m3u8
辽宁卫视,https://live.264788.xyz/channel/liaoningweishi?streamid=d1d75a84e93e19de790b38a1305b0e02&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
辽宁卫视,https://live.264788.xyz/channel/liaoningweishi?streamid=0c788b01c7fa1a38fee180bf3638a6ab&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
